Webb_TPP,Savitski_TPP,Kinobeads,iTSA_52,iTSA_48,iTSA_56,iTSA_ALL
,MAPKAPK5;,MAP2K2;,PLK1;,MAPK3;,PAK4;,PRKAA1;
,MAPK3;,EIF2AK4;,ADK;,MAPKAPK2;,RCN2;,CDK8;
,PIK3CD;,CDK7;,CCDC144CP;,AZI2;,CSK;,TAOK3;
,PMPCA;,IRAK1;,TAOK3;,GSK3B;,CDK1;,PNPO;
,,DDR1;,Q6ZSR9;,ALDH6A1;,TAOK3;,ROCK2;
,,PTK2;,ROCK1;,MAP2K3;,PRKCD;,SLK;
,,GAK;,PRKCI;,PIM1;,ROCK2;,CDK6;
,,RPS6KA1;,MKNK1;,CDC42BPA;,IRAK4;,PRKAB1;
,,MAPK7;,MAPK12;,CAMK1;,H1FX;,PRKCQ;
,,MAP2K5;,CSNK2A2;,PTK2B;,AURKB;,MKNK1;
,,RPS6KA2;,PRKAR2B;,DAPK3;,,PLK1;
,,CDK5;,PDCD10;,LUC7L;,,SRPK2;
,,RPS6KA5;,LLGL1;,MARCKSL1;,,HNRNPF;
,,PIK3CB;,PRKCQ;,AKAP12;,,GAK;
,,TTK;,TBK1;,CAMKK1;,,LLGL1;
,,CDK9;,RPS6KC1;,TANK;,,PHKA2;
,,ULK3;,ZAK;,,,PRKAR2A;
,,CDK17;,TAOK1;,,,STK24;
,,TAOK2;,PRKCB;,,,STK10;
,,DYRK1A;,PI4KB;,,,PIM2;
,,CLK2;,CSNK2A1;,,,MAPKAPK2;
,,STK17B;,STK10;,,,AZI2;
,,RPS6KA3;,PNPO;,,,PHKA1;
,,GSK3A;,PHKA1;,,,PTK2B;
,,CDK1;,CCNB1;,,,PRKAR2B;
,,IRAK4;,CIT;,,,RPS6KB1;
,,GSK3B;,MAPK3;,,,PKN2;
,,MAP2K3;,PHKB;,,,ALDH6A1;
,,TYK2;,PRKAA1;,,,PKN1;
,,CAMK1;,CDK12;,,,PHKB;
,,MAP4K5;,RASSF5;,,,PDPK1;
,,CDK10;,PRKAG1;,,,MASTL;
,,CDK2;,SNX17;,,,RPS6KA3;
,,AURKB;,TIMM44;,,,MAP2K3;
,,MAP4K4;,RBMX2;,,,TTK;
,,TBK1;,HNRNPF;,,,STK38L;
,,AURKA;,MIEF2;,,,AURKB;
,,PTK2B;,MRPL55;,,,RPS6KA1;
,,B4DTS2;,CSNK1D;,,,STK38;
,,PRKD3;,,,,CDK1;
,,BMP2K;,,,,MOB2;
,,CDC42BPG;,,,,TBK1;
,,FER;,,,,LATS1;
,,TNIK;,,,,VRK1;
,,MYLK;,,,,TNIK;
,,TAOK3;,,,,PRKX;
,,PKN1;,,,,CCDC144CP;
,,MAP4K2;,,,,MIEF2;
,,PRKCQ;,,,,CHEK2;
,,TAOK1;,,,,RCN2;
,,SYK;,,,,LUC7L;
,,NTRK1;,,,,RASSF5;
,,CAMK1D;,,,,CCNB1;
,,PHKG2;,,,,CDK12;
,,AAK1;,,,,DCAF7;
,,PKN2;,,,,PDCD10;
,,PRKCB;,,,,CDK4;
,,PRKCA;,,,,CDK17;
,,SIK3;,,,,CDK9;
,,PDPK1;,,,,MRPL55;
,,MARK3;,,,,MKNK2;
,,PAK4;,,,,TIMM44;
,,MARK2;,,,,RPS6KC1;
,,STK3;,,,,CSNK2A1;
,,CAMK2D;,,,,MAPKAPK5;
,,STK4;,,,,RBMX2;
